channel_id,status,input_size,n_train,n_val,n_test,n_true_anomalous_points,best_val_loss,n_epochs_trained,final_train_loss,final_val_loss,point_precision,point_recall,point_f1,point_pr_auc,predicted_anomaly_ratio,seq_TP,seq_FP,seq_FN,seq_precision,seq_recall,seq_f1,seq_pr_auc,n_predicted_anomalous_points,mean_threshold,max_score,mean_score
G-2,ok,25,1732,246,7111,41,1.2629382441017202e-06,35,8.891668236679839e-07,1.2629382441017202e-06,1.0,0.7317073170731707,0.8450704225352113,0.7103335090647831,0.004218815918998735,1,0,0,1.0,1.0,1.0,0.7103335090647831,30,0.042532867242064884,0.36380172234188046,0.0007611723194586407
G-3,ok,25,1849,275,7657,51,0.0017953054285184903,6,0.20010790194693515,0.003811370110647245,1.0,0.5294117647058824,0.6923076923076923,0.45944842293679183,0.003526185190022202,1,0,0,1.0,1.0,1.0,0.45944842293679183,27,0.3812014304288254,2.0958401813841103,0.036216896896629894
G-4,ok,25,1790,261,7382,31,0.2361177742709602,13,0.22921434607585714,0.24217759740763697,0.625,0.4838709677419355,0.5454545454545454,0.48565676839164473,0.003251151449471688,1,0,0,1.0,1.0,1.0,0.48565676839164473,24,8.995618992582044,74.33570047812752,0.28893127422189513
G-6,ok,25,2054,327,8390,101,0.13739853240663488,10,0.0015135856466358772,0.1659337898277726,1.0,0.19801980198019803,0.3305785123966942,0.6281872781789771,0.0023837902264600714,1,0,0,1.0,1.0,1.0,0.6281872781789771,20,0.770973360552459,2.0720346799888905,0.1656997792207151
G-7,ok,25,1706,240,7779,268,2.155787396430969,19,0.8983599591360439,2.184866464138031,1.0,0.048507462686567165,0.09252669039145907,0.6255075702258743,0.0016711659596349146,1,0,2,1.0,0.3333333333333333,0.5,0.6255075702258743,13,3.3252157279520653,6.543774800457525,0.20998605032619325
P-1,ok,25,2047,325,8255,751,0.1509711727156089,32,0.13965330181555102,0.1558545855891246,0.0,0.0,0.0,0.07977949542447994,0.0003634161114476075,0,1,3,0.0,0.0,0.0,0.07977949542447994,3,0.7204454596612425,0.8978948869978882,0.30076238792970555
P-2,ok,25,2006,315,7959,1276,0.5286581306230455,24,0.463723711216319,0.5434812557129632,1.0,0.07523510971786834,0.13994169096209913,0.9254007970927203,0.01206181681115718,1,0,0,1.0,1.0,1.0,0.9254007970927203,96,17.111735948626066,49.684436712762164,3.6859944126226463
P-3,ok,25,2034,321,8243,1336,0.07121434784566873,29,0.08030267319144753,0.07766903324104915,1.0,0.011976047904191617,0.023668639053254437,0.5254165905472014,0.0019410408831736017,1,0,0,1.0,1.0,1.0,0.5254165905472014,16,1.829770234207506,2.682819611278237,0.6920585480543866
P-4,ok,25,1837,272,7533,443,2.022951181679389e-06,35,2.602757260721688e-06,2.2755297392256365e-06,1.0,0.09029345372460497,0.16563146997929606,0.5220312183829376,0.005309969467675561,1,0,2,1.0,0.3333333333333333,0.5,0.5220312183829376,40,0.3418170759999573,1.3991794619932263,0.004937822925654392
P-7,ok,25,2032,321,7821,1651,0.045837157165103615,25,0.07449288930245272,0.045895653857336,1.0,0.0018170805572380376,0.0036275695284159614,0.7031390602255629,0.0003835826620636747,1,0,0,1.0,1.0,1.0,0.7031390602255629,3,0.8974983178658985,1.449821280709705,0.27437610303228094
R-1,ok,25,2049,325,6994,81,7.388427303130112e-07,35,8.762636981955001e-07,7.388427303130112e-07,1.0,0.38271604938271603,0.5535714285714286,0.3694323393243829,0.004432370603374321,1,0,0,1.0,1.0,1.0,0.3694323393243829,31,0.04326260873418638,0.36387449333918437,0.0012566629981703788
S-1,ok,25,2004,314,7081,448,0.6885178320726771,27,0.534086058239737,0.7134733105161387,1.0,0.34151785714285715,0.5091514143094842,0.6490155069467177,0.02160711763875159,1,0,0,1.0,1.0,1.0,0.6490155069467177,153,1.885179520118544,3.391918730968669,0.7248710447544909
T-1,ok,25,2050,325,8362,1536,0.024704789866048557,11,0.040431361649094555,0.029599753300157877,0.0,0.0,0.0,0.18187439258348637,0.0025113609184405643,0,1,2,0.0,0.0,0.0,0.18187439258348637,21,0.35902971549615087,1.1826090665753317,0.12515485689356617
T-2,ok,25,2034,321,8375,1785,0.0051463671301337785,32,0.010345083259361097,0.006930643072456261,0.04838709677419355,0.0016806722689075631,0.0032485110990795887,0.12353514244621622,0.007402985074626865,1,10,0,0.09090909090909091,1.0,0.16666666666666669,0.12353514244621622,62,0.7404159553797706,0.8192079302051907,0.2275646201488314
T-3,ok,25,2050,326,8329,184,0.010154300763563145,29,0.008815869830730485,0.010342300612410885,1.0,0.24456521739130435,0.3930131004366812,0.28590429972382114,0.005402809460919678,2,0,0,1.0,1.0,1.0,0.28590429972382114,45,4.27598809646529,23.509324616757368,0.1790347745693196
